"palabra"	"sentimiento"	"lexicon"	"valor"
"mosquete"	"miedo"	"nrc"	NA
"mosquito"	"disgusto"	"nrc"	NA
"mosquito"	"ira"	"nrc"	NA
"mosquito"	"negativo"	"nrc"	NA
"mostrar"	"confianza"	"nrc"	NA
"mota"	"disgusto"	"nrc"	NA
"mota"	"negativo"	"nrc"	NA
"motín"	"asombro"	"nrc"	NA
"motín"	"disgusto"	"nrc"	NA
"motín"	"ira"	"nrc"	NA
"motín"	"miedo"	"nrc"	NA
"motín"	"negativo"	"nrc"	NA
"motivo"	"positivo"	"nrc"	NA
"móvil"	"positivo"	"nrc"	NA
"móvil"	"premonición"	"nrc"	NA
"movimiento"	"premonición"	"nrc"	NA
"moza"	"disgusto"	"nrc"	NA
"moza"	"ira"	"nrc"	NA
"moza"	"negativo"	"nrc"	NA
"mucoso"	"disgusto"	"nrc"	NA
"mudable"	"positivo"	"nrc"	NA
"mudable"	"premonición"	"nrc"	NA
"mudo"	"negativo"	"nrc"	NA
"muerte"	"asombro"	"nrc"	NA
"muerte"	"disgusto"	"nrc"	NA
"muerte"	"ira"	"nrc"	NA
"muerte"	"miedo"	"nrc"	NA
"muerte"	"negativo"	"nrc"	NA
"muerte"	"premonición"	"nrc"	NA
"muerte"	"tristeza"	"nrc"	NA
"muesca"	"confianza"	"nrc"	NA
"mugre"	"disgusto"	"nrc"	NA
"mugre"	"negativo"	"nrc"	NA
"mugriento"	"disgusto"	"nrc"	NA
"mugriento"	"negativo"	"nrc"	NA
"mula"	"confianza"	"nrc"	NA
"mula"	"ira"	"nrc"	NA
"mula"	"negativo"	"nrc"	NA
"muñeca"	"alegría"	"nrc"	NA
"murmullo"	"ira"	"nrc"	NA
"murmullo"	"negativo"	"nrc"	NA
"muscular"	"positivo"	"nrc"	NA
"música"	"alegría"	"nrc"	NA
"música"	"positivo"	"nrc"	NA
"música"	"tristeza"	"nrc"	NA
"musical"	"alegría"	"nrc"	NA
"musical"	"asombro"	"nrc"	NA
"musical"	"confianza"	"nrc"	NA
"musical"	"ira"	"nrc"	NA
"musical"	"positivo"	"nrc"	NA
"musical"	"premonición"	"nrc"	NA
"musical"	"tristeza"	"nrc"	NA
"mutante"	"negativo"	"nrc"	NA
"mutilación"	"disgusto"	"nrc"	NA
"mutilación"	"ira"	"nrc"	NA
"mutilación"	"miedo"	"nrc"	NA
"mutilación"	"negativo"	"nrc"	NA
"mutilación"	"tristeza"	"nrc"	NA
"mutilado"	"disgusto"	"nrc"	NA
"mutilado"	"negativo"	"nrc"	NA
"mutuo"	"positivo"	"nrc"	NA
"naciente"	"premonición"	"nrc"	NA
"nacimiento"	"alegría"	"nrc"	NA
"nacimiento"	"confianza"	"nrc"	NA
"nacimiento"	"miedo"	"nrc"	NA
"nacimiento"	"positivo"	"nrc"	NA
"nacimiento"	"premonición"	"nrc"	NA
"nación"	"confianza"	"nrc"	NA
"nada"	"negativo"	"nrc"	NA
"nada"	"tristeza"	"nrc"	NA
"nadar"	"alegría"	"nrc"	NA
"nadar"	"miedo"	"nrc"	NA
"nadar"	"positivo"	"nrc"	NA
"nadar"	"premonición"	"nrc"	NA
"nadir"	"negativo"	"nrc"	NA
"narcótico"	"negativo"	"nrc"	NA
"nariz"	"disgusto"	"nrc"	NA
"naturalista"	"positivo"	"nrc"	NA
"naufragado"	"ira"	"nrc"	NA
"naufragado"	"miedo"	"nrc"	NA
"naufragado"	"negativo"	"nrc"	NA
"naufragado"	"tristeza"	"nrc"	NA
"naufragio"	"asombro"	"nrc"	NA
"naufragio"	"disgusto"	"nrc"	NA
"naufragio"	"ira"	"nrc"	NA
"naufragio"	"miedo"	"nrc"	NA
"naufragio"	"negativo"	"nrc"	NA
"naufragio"	"tristeza"	"nrc"	NA
"náusea"	"disgusto"	"nrc"	NA
"náusea"	"negativo"	"nrc"	NA
"nauseabundo"	"disgusto"	"nrc"	NA
"nauseabundo"	"ira"	"nrc"	NA
"nauseabundo"	"miedo"	"nrc"	NA
"nauseabundo"	"negativo"	"nrc"	NA
"nauseabundo"	"tristeza"	"nrc"	NA
"navaja"	"miedo"	"nrc"	NA
"navegable"	"positivo"	"nrc"	NA
"navegable"	"premonición"	"nrc"	NA
"navegante"	"confianza"	"nrc"	NA
"navegante"	"premonición"	"nrc"	NA
"neblina"	"miedo"	"nrc"	NA
"neblina"	"negativo"	"nrc"	NA
"necedad"	"negativo"	"nrc"	NA
"necesario"	"negativo"	"nrc"	NA
"necesidad"	"tristeza"	"nrc"	NA
"necesitado"	"negativo"	"nrc"	NA
"necrosis"	"negativo"	"nrc"	NA
"néctar"	"positivo"	"nrc"	NA
"negación"	"ira"	"nrc"	NA
"negación"	"negativo"	"nrc"	NA
"negación"	"tristeza"	"nrc"	NA
"negado"	"negativo"	"nrc"	NA
"negado"	"tristeza"	"nrc"	NA
"negando"	"negativo"	"nrc"	NA
"negando"	"premonición"	"nrc"	NA
"negar"	"ira"	"nrc"	NA
"negar"	"negativo"	"nrc"	NA
"negativa"	"negativo"	"nrc"	NA
"negativo"	"negativo"	"nrc"	NA
"negativo"	"tristeza"	"nrc"	NA
"negligencia"	"negativo"	"nrc"	NA
"negligente"	"negativo"	"nrc"	NA
"negligentemente"	"negativo"	"nrc"	NA
"negociador"	"positivo"	"nrc"	NA
"negociar"	"confianza"	"nrc"	NA
"negociar"	"positivo"	"nrc"	NA
"negritud"	"miedo"	"nrc"	NA
"negritud"	"negativo"	"nrc"	NA
"negritud"	"tristeza"	"nrc"	NA
"negro"	"negativo"	"nrc"	NA
"negro"	"tristeza"	"nrc"	NA
"negrura"	"miedo"	"nrc"	NA
"negrura"	"negativo"	"nrc"	NA
"negrura"	"tristeza"	"nrc"	NA
"nepotismo"	"disgusto"	"nrc"	NA
"nepotismo"	"ira"	"nrc"	NA
"nepotismo"	"negativo"	"nrc"	NA
"nepotismo"	"tristeza"	"nrc"	NA
"nervio"	"positivo"	"nrc"	NA
"nerviosismo"	"miedo"	"nrc"	NA
"nervioso"	"miedo"	"nrc"	NA
"nervioso"	"negativo"	"nrc"	NA
"nervioso"	"premonición"	"nrc"	NA
"neumonía"	"miedo"	"nrc"	NA
"neumonía"	"negativo"	"nrc"	NA
"neuralgia"	"miedo"	"nrc"	NA
"neuralgia"	"negativo"	"nrc"	NA
"neuralgia"	"tristeza"	"nrc"	NA
"neurosis"	"miedo"	"nrc"	NA
"neurosis"	"negativo"	"nrc"	NA
"neurosis"	"tristeza"	"nrc"	NA
"neurótico"	"disgusto"	"nrc"	NA
"neurótico"	"miedo"	"nrc"	NA
"neurótico"	"negativo"	"nrc"	NA
"neutral"	"confianza"	"nrc"	NA
"neutral"	"premonición"	"nrc"	NA
"neutralidad"	"confianza"	"nrc"	NA
"nicotina"	"disgusto"	"nrc"	NA
"nicotina"	"negativo"	"nrc"	NA
"nido"	"confianza"	"nrc"	NA
"nietos"	"alegría"	"nrc"	NA
"nietos"	"confianza"	"nrc"	NA
"nietos"	"positivo"	"nrc"	NA
"nietos"	"premonición"	"nrc"	NA
"nihilismo"	"negativo"	"nrc"	NA
"niña"	"alegría"	"nrc"	NA
"niña"	"positivo"	"nrc"	NA
"niña"	"premonición"	"nrc"	NA
"niñera"	"confianza"	"nrc"	NA
"niño"	"alegría"	"nrc"	NA
"niño"	"disgusto"	"nrc"	NA
"niño"	"negativo"	"nrc"	NA
"niño"	"positivo"	"nrc"	NA
"niño"	"premonición"	"nrc"	NA
"nivel"	"confianza"	"nrc"	NA
"nivel"	"positivo"	"nrc"	NA
"noble"	"confianza"	"nrc"	NA
"noble"	"positivo"	"nrc"	NA
"nobleza"	"confianza"	"nrc"	NA
"nobleza"	"positivo"	"nrc"	NA
"nobleza"	"premonición"	"nrc"	NA
"noción"	"negativo"	"nrc"	NA
"noción"	"positivo"	"nrc"	NA
"nocivo"	"disgusto"	"nrc"	NA
"nocivo"	"miedo"	"nrc"	NA
"nocivo"	"negativo"	"nrc"	NA
"nominación"	"positivo"	"nrc"	NA
"noria"	"premonición"	"nrc"	NA
"norma"	"confianza"	"nrc"	NA
"norma"	"miedo"	"nrc"	NA
"normalidad"	"positivo"	"nrc"	NA
"nostálgico"	"negativo"	"nrc"	NA
"nostálgico"	"tristeza"	"nrc"	NA
"notable"	"alegría"	"nrc"	NA
"notable"	"asombro"	"nrc"	NA
"notable"	"confianza"	"nrc"	NA
"notable"	"positivo"	"nrc"	NA
"notablemente"	"alegría"	"nrc"	NA
"notablemente"	"asombro"	"nrc"	NA
"notablemente"	"confianza"	"nrc"	NA
"notablemente"	"positivo"	"nrc"	NA
"notables"	"positivo"	"nrc"	NA
"notario"	"confianza"	"nrc"	NA
"notificación"	"premonición"	"nrc"	NA
"novela"	"alegría"	"nrc"	NA
"novela"	"asombro"	"nrc"	NA
"novela"	"confianza"	"nrc"	NA
"novela"	"miedo"	"nrc"	NA
"novela"	"positivo"	"nrc"	NA
"novela"	"premonición"	"nrc"	NA
"novela"	"tristeza"	"nrc"	NA
"novia"	"alegría"	"nrc"	NA
"novia"	"confianza"	"nrc"	NA
"novia"	"positivo"	"nrc"	NA
"novia"	"premonición"	"nrc"	NA
"noviazgo"	"alegría"	"nrc"	NA
"noviazgo"	"confianza"	"nrc"	NA
"noviazgo"	"positivo"	"nrc"	NA
"noviazgo"	"premonición"	"nrc"	NA
"novio"	"alegría"	"nrc"	NA
"novio"	"confianza"	"nrc"	NA
"novio"	"positivo"	"nrc"	NA
"novio"	"premonición"	"nrc"	NA
"novio"	"tristeza"	"nrc"	NA
"nublada"	"negativo"	"nrc"	NA
"nublada"	"tristeza"	"nrc"	NA
"nublado"	"negativo"	"nrc"	NA
"nublado"	"tristeza"	"nrc"	NA
"nubosidad"	"miedo"	"nrc"	NA
"nubosidad"	"negativo"	"nrc"	NA
"núcleo"	"positivo"	"nrc"	NA
"números"	"positivo"	"nrc"	NA
"nupcial"	"alegría"	"nrc"	NA
"nupcial"	"confianza"	"nrc"	NA
"nupcial"	"positivo"	"nrc"	NA
"nupcial"	"premonición"	"nrc"	NA
"nutrir"	"alegría"	"nrc"	NA
"nutrir"	"confianza"	"nrc"	NA
"nutrir"	"disgusto"	"nrc"	NA
"nutrir"	"ira"	"nrc"	NA
"nutrir"	"miedo"	"nrc"	NA
"nutrir"	"positivo"	"nrc"	NA
"nutrir"	"premonición"	"nrc"	NA
"nutritivo"	"positivo"	"nrc"	NA
"nutritivo"	"tristeza"	"nrc"	NA
"oasis"	"alegría"	"nrc"	NA
"oasis"	"confianza"	"nrc"	NA
"oasis"	"positivo"	"nrc"	NA
"oasis"	"premonición"	"nrc"	NA
"obedecer"	"confianza"	"nrc"	NA
"obedecer"	"miedo"	"nrc"	NA
"obediencia"	"confianza"	"nrc"	NA
"obediencia"	"positivo"	"nrc"	NA
"obediente"	"confianza"	"nrc"	NA
"obediente"	"positivo"	"nrc"	NA
"obediente"	"premonición"	"nrc"	NA
"obertura"	"premonición"	"nrc"	NA
"obesidad"	"disgusto"	"nrc"	NA
"obesidad"	"negativo"	"nrc"	NA
"obesidad"	"tristeza"	"nrc"	NA
"obeso"	"disgusto"	"nrc"	NA
"obeso"	"negativo"	"nrc"	NA
"obituario"	"negativo"	"nrc"	NA
"obituario"	"tristeza"	"nrc"	NA
"objeción"	"ira"	"nrc"	NA
"objeción"	"negativo"	"nrc"	NA
"objetable"	"negativo"	"nrc"	NA
"objetivo"	"confianza"	"nrc"	NA
"objetivo"	"positivo"	"nrc"	NA
"objetivo"	"premonición"	"nrc"	NA
"obligación"	"premonición"	"nrc"	NA
"obligar"	"confianza"	"nrc"	NA
"obligar"	"disgusto"	"nrc"	NA
"obligar"	"ira"	"nrc"	NA
"obligar"	"miedo"	"nrc"	NA
"obligar"	"negativo"	"nrc"	NA
"obligatorio"	"negativo"	"nrc"	NA
"obliteración"	"miedo"	"nrc"	NA
"obliteración"	"negativo"	"nrc"	NA
"obliteración"	"tristeza"	"nrc"	NA
"obliterado"	"ira"	"nrc"	NA
"obliterado"	"miedo"	"nrc"	NA
"obliterado"	"negativo"	"nrc"	NA
"obliterar"	"ira"	"nrc"	NA
"obliterar"	"miedo"	"nrc"	NA
"obliterar"	"negativo"	"nrc"	NA
"obliterar"	"tristeza"	"nrc"	NA
"obscenidad"	"disgusto"	"nrc"	NA
"obscenidad"	"ira"	"nrc"	NA
"obscenidad"	"miedo"	"nrc"	NA
"obscenidad"	"negativo"	"nrc"	NA
"obsceno"	"disgusto"	"nrc"	NA
"obsceno"	"negativo"	"nrc"	NA
"observante"	"positivo"	"nrc"	NA
"obstaculizando"	"negativo"	"nrc"	NA
"obstaculizando"	"tristeza"	"nrc"	NA
"obstáculo"	"ira"	"nrc"	NA
"obstáculo"	"miedo"	"nrc"	NA
"obstáculo"	"negativo"	"nrc"	NA
"obstáculo"	"tristeza"	"nrc"	NA
"obstétrico"	"confianza"	"nrc"	NA
"obstinado"	"negativo"	"nrc"	NA
"obstinado"	"positivo"	"nrc"	NA
"obstrucción"	"negativo"	"nrc"	NA
"obstructivo"	"ira"	"nrc"	NA
"obstructivo"	"negativo"	"nrc"	NA
"obstruir"	"ira"	"nrc"	NA
"obstruir"	"miedo"	"nrc"	NA
"obstruir"	"negativo"	"nrc"	NA
"obtuso"	"negativo"	"nrc"	NA
"obvio"	"confianza"	"nrc"	NA
"obvio"	"positivo"	"nrc"	NA
"ocio"	"alegría"	"nrc"	NA
"ocio"	"asombro"	"nrc"	NA
"ocio"	"confianza"	"nrc"	NA
"ocio"	"positivo"	"nrc"	NA
"ocio"	"premonición"	"nrc"	NA
"ocioso"	"negativo"	"nrc"	NA
"ocultación"	"ira"	"nrc"	NA
"ocultación"	"miedo"	"nrc"	NA
"ocultación"	"negativo"	"nrc"	NA
"ocultación"	"premonición"	"nrc"	NA
"ocultar"	"miedo"	"nrc"	NA
"ocultar"	"negativo"	"nrc"	NA
"ocultar"	"tristeza"	"nrc"	NA
"oculto"	"asombro"	"nrc"	NA
"oculto"	"disgusto"	"nrc"	NA
"oculto"	"miedo"	"nrc"	NA
"oculto"	"negativo"	"nrc"	NA
"oculto"	"premonición"	"nrc"	NA
"ocupación"	"positivo"	"nrc"	NA
"ocupado"	"alegría"	"nrc"	NA
"ocupado"	"confianza"	"nrc"	NA
"ocupado"	"positivo"	"nrc"	NA
"ocupado"	"premonición"	"nrc"	NA
"ocupante"	"confianza"	"nrc"	NA
"ocupante"	"positivo"	"nrc"	NA
"ocupar"	"positivo"	"nrc"	NA
"odiando"	"ira"	"nrc"	NA
"odiando"	"negativo"	"nrc"	NA
"odiar"	"disgusto"	"nrc"	NA
"odiar"	"ira"	"nrc"	NA
"odiar"	"miedo"	"nrc"	NA
"odiar"	"negativo"	"nrc"	NA
"odiar"	"tristeza"	"nrc"	NA
"odio"	"disgusto"	"nrc"	NA
"odio"	"ira"	"nrc"	NA
"odio"	"miedo"	"nrc"	NA
"odio"	"negativo"	"nrc"	NA
"odio"	"tristeza"	"nrc"	NA
"odioso"	"disgusto"	"nrc"	NA
"odioso"	"ira"	"nrc"	NA
"odioso"	"miedo"	"nrc"	NA
"odioso"	"negativo"	"nrc"	NA
"odioso"	"tristeza"	"nrc"	NA
"odontología"	"miedo"	"nrc"	NA
"ofender"	"disgusto"	"nrc"	NA
"ofender"	"ira"	"nrc"	NA
"ofender"	"negativo"	"nrc"	NA
"ofendido"	"ira"	"nrc"	NA
"ofendido"	"negativo"	"nrc"	NA
"ofendido"	"tristeza"	"nrc"	NA
"ofensiva"	"disgusto"	"nrc"	NA
"ofensiva"	"ira"	"nrc"	NA
"ofensiva"	"negativo"	"nrc"	NA
"oferta"	"positivo"	"nrc"	NA
"oficial"	"confianza"	"nrc"	NA
"oficial"	"positivo"	"nrc"	NA
"ofrenda"	"confianza"	"nrc"	NA
"ogro"	"disgusto"	"nrc"	NA
"ogro"	"miedo"	"nrc"	NA
"ogro"	"negativo"	"nrc"	NA
"okupa"	"negativo"	"nrc"	NA
"oleada"	"asombro"	"nrc"	NA
"olfativo"	"negativo"	"nrc"	NA
"olfativo"	"premonición"	"nrc"	NA
"oliendo"	"disgusto"	"nrc"	NA
"oliendo"	"negativo"	"nrc"	NA
"oligarquía"	"negativo"	"nrc"	NA
"olor"	"disgusto"	"nrc"	NA
"olor"	"ira"	"nrc"	NA
"olor"	"negativo"	"nrc"	NA
"olvidado"	"miedo"	"nrc"	NA
"olvidado"	"negativo"	"nrc"	NA
"olvidado"	"tristeza"	"nrc"	NA
"olvidar"	"miedo"	"nrc"	NA
"olvidar"	"negativo"	"nrc"	NA
"olvidar"	"tristeza"	"nrc"	NA
"olvido"	"ira"	"nrc"	NA
"olvido"	"miedo"	"nrc"	NA
"olvido"	"negativo"	"nrc"	NA
"ominoso"	"miedo"	"nrc"	NA
"ominoso"	"negativo"	"nrc"	NA
"ominoso"	"premonición"	"nrc"	NA
"omitir"	"negativo"	"nrc"	NA
"omnipotencia"	"miedo"	"nrc"	NA
"omnipotencia"	"negativo"	"nrc"	NA
"omnipotencia"	"positivo"	"nrc"	NA
"omnisciente"	"confianza"	"nrc"	NA
"omnisciente"	"positivo"	"nrc"	NA
"oneroso"	"ira"	"nrc"	NA
"oneroso"	"negativo"	"nrc"	NA
"oneroso"	"tristeza"	"nrc"	NA
"opaco"	"negativo"	"nrc"	NA
"opción"	"positivo"	"nrc"	NA
"opcional"	"positivo"	"nrc"	NA
"ópera"	"alegría"	"nrc"	NA
"ópera"	"asombro"	"nrc"	NA
"ópera"	"confianza"	"nrc"	NA
"ópera"	"ira"	"nrc"	NA
"ópera"	"miedo"	"nrc"	NA
"ópera"	"positivo"	"nrc"	NA
"ópera"	"premonición"	"nrc"	NA
"ópera"	"tristeza"	"nrc"	NA
"operación"	"confianza"	"nrc"	NA
"operación"	"miedo"	"nrc"	NA
"operístico"	"negativo"	"nrc"	NA
"opiáceo"	"negativo"	"nrc"	NA
"opio"	"disgusto"	"nrc"	NA
"opio"	"ira"	"nrc"	NA
"opio"	"miedo"	"nrc"	NA
"opio"	"negativo"	"nrc"	NA
"opio"	"tristeza"	"nrc"	NA
"oportunidad"	"asombro"	"nrc"	NA
"oportunidad"	"positivo"	"nrc"	NA
"oportunidad"	"premonición"	"nrc"	NA
"oportuno"	"alegría"	"nrc"	NA
"oportuno"	"positivo"	"nrc"	NA
"oposición"	"ira"	"nrc"	NA
"oposición"	"negativo"	"nrc"	NA
"opresión"	"disgusto"	"nrc"	NA
"opresión"	"ira"	"nrc"	NA
"opresión"	"miedo"	"nrc"	NA
"opresión"	"negativo"	"nrc"	NA
"opresión"	"tristeza"	"nrc"	NA
"opresivo"	"disgusto"	"nrc"	NA
"opresivo"	"ira"	"nrc"	NA
"opresivo"	"miedo"	"nrc"	NA
"opresivo"	"negativo"	"nrc"	NA
"opresivo"	"tristeza"	"nrc"	NA
"opresor"	"ira"	"nrc"	NA
"opresor"	"miedo"	"nrc"	NA
"opresor"	"negativo"	"nrc"	NA
"opresor"	"tristeza"	"nrc"	NA
"oprimir"	"disgusto"	"nrc"	NA
"oprimir"	"ira"	"nrc"	NA
"oprimir"	"miedo"	"nrc"	NA
"oprimir"	"negativo"	"nrc"	NA
"oprimir"	"tristeza"	"nrc"	NA
"optimismo"	"alegría"	"nrc"	NA
"optimismo"	"asombro"	"nrc"	NA
"optimismo"	"confianza"	"nrc"	NA
"optimismo"	"positivo"	"nrc"	NA
"optimismo"	"premonición"	"nrc"	NA
"optimista"	"confianza"	"nrc"	NA
"optimista"	"positivo"	"nrc"	NA
"opuesto"	"ira"	"nrc"	NA
"opuesto"	"miedo"	"nrc"	NA
"opuesto"	"negativo"	"nrc"	NA
"opulencia"	"alegría"	"nrc"	NA
"opulencia"	"positivo"	"nrc"	NA
"oración"	"positivo"	"nrc"	NA
"oráculo"	"confianza"	"nrc"	NA
"oráculo"	"positivo"	"nrc"	NA
"oráculo"	"premonición"	"nrc"	NA
"orar"	"alegría"	"nrc"	NA
"orar"	"asombro"	"nrc"	NA
"orar"	"confianza"	"nrc"	NA
"orar"	"miedo"	"nrc"	NA
"orar"	"positivo"	"nrc"	NA
"orar"	"premonición"	"nrc"	NA
"orco"	"disgusto"	"nrc"	NA
"orco"	"ira"	"nrc"	NA
"orco"	"miedo"	"nrc"	NA
"orco"	"negativo"	"nrc"	NA
"ordalía"	"asombro"	"nrc"	NA
"ordalía"	"ira"	"nrc"	NA
"ordalía"	"negativo"	"nrc"	NA
"ordenación"	"alegría"	"nrc"	NA
"ordenación"	"confianza"	"nrc"	NA
"ordenación"	"positivo"	"nrc"	NA
"ordenación"	"premonición"	"nrc"	NA
"ordenado"	"confianza"	"nrc"	NA
"ordenado"	"positivo"	"nrc"	NA
"ordenanza"	"confianza"	"nrc"	NA
"orfeón"	"positivo"	"nrc"	NA
"orgánico"	"positivo"	"nrc"	NA
"organización"	"alegría"	"nrc"	NA
"organización"	"asombro"	"nrc"	NA
"organización"	"confianza"	"nrc"	NA
"organización"	"positivo"	"nrc"	NA
"organización"	"premonición"	"nrc"	NA
"organizado"	"positivo"	"nrc"	NA
"organizar"	"positivo"	"nrc"	NA
"órgano"	"alegría"	"nrc"	NA
"órgano"	"premonición"	"nrc"	NA
"orgasmo"	"alegría"	"nrc"	NA
"orgasmo"	"positivo"	"nrc"	NA
"orgasmo"	"premonición"	"nrc"	NA
"orgullo"	"alegría"	"nrc"	NA
"orgullo"	"positivo"	"nrc"	NA
"orgulloso"	"alegría"	"nrc"	NA
"orgulloso"	"confianza"	"nrc"	NA
"orgulloso"	"positivo"	"nrc"	NA
"orgulloso"	"premonición"	"nrc"	NA
"originalidad"	"asombro"	"nrc"	NA
"originalidad"	"positivo"	"nrc"	NA
"ornamentado"	"positivo"	"nrc"	NA
"oro"	"positivo"	"nrc"	NA
"oropel"	"alegría"	"nrc"	NA
"oropel"	"positivo"	"nrc"	NA
"orquesta"	"alegría"	"nrc"	NA
"orquesta"	"confianza"	"nrc"	NA
"orquesta"	"ira"	"nrc"	NA
"orquesta"	"positivo"	"nrc"	NA
"orquesta"	"tristeza"	"nrc"	NA
"ortiga"	"disgusto"	"nrc"	NA
"ortiga"	"ira"	"nrc"	NA
"ortiga"	"negativo"	"nrc"	NA
"ortodoxia"	"confianza"	"nrc"	NA
"ortografía"	"positivo"	"nrc"	NA
"oscurecer"	"miedo"	"nrc"	NA
"oscurecer"	"negativo"	"nrc"	NA
"oscurecer"	"tristeza"	"nrc"	NA
"oscurecido"	"miedo"	"nrc"	NA
"oscurecido"	"negativo"	"nrc"	NA
"oscurecido"	"tristeza"	"nrc"	NA
"oscuridad"	"ira"	"nrc"	NA
"oscuridad"	"miedo"	"nrc"	NA
"oscuridad"	"negativo"	"nrc"	NA
"oscuridad"	"tristeza"	"nrc"	NA
"oscuro"	"tristeza"	"nrc"	NA
"ostentar"	"negativo"	"nrc"	NA
"ovación"	"negativo"	"nrc"	NA
"ovación"	"tristeza"	"nrc"	NA
"owing"	"confianza"	"nrc"	NA
"owing"	"disgusto"	"nrc"	NA
"owing"	"ira"	"nrc"	NA
"owing"	"miedo"	"nrc"	NA
"owing"	"negativo"	"nrc"	NA
"owing"	"premonición"	"nrc"	NA
"owing"	"tristeza"	"nrc"	NA
"oxidación"	"negativo"	"nrc"	NA
"oxidado"	"negativo"	"nrc"	NA
"óxido"	"negativo"	"nrc"	NA
"paca"	"miedo"	"nrc"	NA
"paca"	"negativo"	"nrc"	NA
"paciencia"	"confianza"	"nrc"	NA
"paciencia"	"positivo"	"nrc"	NA
"paciencia"	"premonición"	"nrc"	NA
"paciente"	"positivo"	"nrc"	NA
"paciente"	"premonición"	"nrc"	NA
"pacífico"	"alegría"	"nrc"	NA
"pacífico"	"asombro"	"nrc"	NA
"pacífico"	"confianza"	"nrc"	NA
"pacífico"	"positivo"	"nrc"	NA
"pacífico"	"premonición"	"nrc"	NA
"pacotilla"	"disgusto"	"nrc"	NA
"pacotilla"	"ira"	"nrc"	NA
"pacotilla"	"negativo"	"nrc"	NA
"pacto"	"confianza"	"nrc"	NA
"pacto"	"positivo"	"nrc"	NA
"padre"	"confianza"	"nrc"	NA
"pagano"	"miedo"	"nrc"	NA
"pagano"	"negativo"	"nrc"	NA
"pagar"	"alegría"	"nrc"	NA
"pagar"	"confianza"	"nrc"	NA
"pagar"	"positivo"	"nrc"	NA
"pagar"	"premonición"	"nrc"	NA
"pago"	"negativo"	"nrc"	NA
"paja"	"ira"	"nrc"	NA
"paja"	"miedo"	"nrc"	NA
"paja"	"negativo"	"nrc"	NA
"palabra"	"confianza"	"nrc"	NA
"palabra"	"positivo"	"nrc"	NA
"palabras"	"ira"	"nrc"	NA
"palabras"	"negativo"	"nrc"	NA
"palanca"	"confianza"	"nrc"	NA
"palanca"	"ira"	"nrc"	NA
"palanca"	"negativo"	"nrc"	NA
"palanca"	"premonición"	"nrc"	NA
"paleta"	"positivo"	"nrc"	NA
"paleta"	"premonición"	"nrc"	NA
"paliativo"	"positivo"	"nrc"	NA
"pálido"	"miedo"	"nrc"	NA
"pálido"	"negativo"	"nrc"	NA
"pálido"	"tristeza"	"nrc"	NA
"paliza"	"ira"	"nrc"	NA
"paliza"	"miedo"	"nrc"	NA
"paliza"	"negativo"	"nrc"	NA
"paliza"	"tristeza"	"nrc"	NA
"paloma"	"alegría"	"nrc"	NA
"paloma"	"confianza"	"nrc"	NA
"paloma"	"negativo"	"nrc"	NA
"paloma"	"positivo"	"nrc"	NA
"paloma"	"premonición"	"nrc"	NA
"palpable"	"asombro"	"nrc"	NA
"pan"	"negativo"	"nrc"	NA
"panacea"	"positivo"	"nrc"	NA
"pandemia"	"miedo"	"nrc"	NA
"pandemia"	"negativo"	"nrc"	NA
"pandemia"	"tristeza"	"nrc"	NA
"pandilla"	"ira"	"nrc"	NA
"pandilla"	"miedo"	"nrc"	NA
"pandilla"	"negativo"	"nrc"	NA
"pánico"	"miedo"	"nrc"	NA
"pánico"	"negativo"	"nrc"	NA
"pantano"	"disgusto"	"nrc"	NA
"pantano"	"miedo"	"nrc"	NA
"pantano"	"negativo"	"nrc"	NA
"pantanoso"	"disgusto"	"nrc"	NA
"pantanoso"	"miedo"	"nrc"	NA
"pantanoso"	"negativo"	"nrc"	NA
"pañal"	"disgusto"	"nrc"	NA
"pañal"	"negativo"	"nrc"	NA
"pañales"	"disgusto"	"nrc"	NA
"papa"	"positivo"	"nrc"	NA
"paperas"	"negativo"	"nrc"	NA
"paracaídas"	"miedo"	"nrc"	NA
"parada"	"ira"	"nrc"	NA
"parada"	"negativo"	"nrc"	NA
"parafrasear"	"negativo"	"nrc"	NA
"parafrasear"	"positivo"	"nrc"	NA
"parálisis"	"disgusto"	"nrc"	NA
"parálisis"	"ira"	"nrc"	NA
"parálisis"	"miedo"	"nrc"	NA
"parálisis"	"negativo"	"nrc"	NA
"parálisis"	"premonición"	"nrc"	NA
"parálisis"	"tristeza"	"nrc"	NA
"paralizado"	"asombro"	"nrc"	NA
"paralizado"	"ira"	"nrc"	NA
"paralizado"	"miedo"	"nrc"	NA
"paralizado"	"negativo"	"nrc"	NA
"paralizado"	"tristeza"	"nrc"	NA
"paranoia"	"miedo"	"nrc"	NA
"paranoia"	"negativo"	"nrc"	NA
"parásito"	"disgusto"	"nrc"	NA
"parásito"	"ira"	"nrc"	NA
"parásito"	"miedo"	"nrc"	NA
"parásito"	"negativo"	"nrc"	NA
"parche"	"negativo"	"nrc"	NA
"parcial"	"negativo"	"nrc"	NA
"parcialidad"	"ira"	"nrc"	NA
"parcialidad"	"negativo"	"nrc"	NA
"pardo"	"negativo"	"nrc"	NA
"parecido"	"confianza"	"nrc"	NA
"parentela"	"positivo"	"nrc"	NA
"paria"	"disgusto"	"nrc"	NA
"paria"	"miedo"	"nrc"	NA
"paria"	"negativo"	"nrc"	NA
